"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"117","Maternal vs Paternal NSD",-19.8566876356458,3.62948872818974,-5.47093244330025,1.23771448090615e-07,"F1","TAG","male","NA",3.3418290984466e-06,"***",5.56971516407767e-06,"***"
"118","Both vs Maternal NSD",-5.42758620493184,1.91892479419589,-2.82845175660269,0.0128871296179478,"F1","Glycogen","male","NA",0.0869881249211477,".",0.0859141974529853,"."
"119","Both vs Paternal NSD",-10.220609832132,1.91791693377976,-5.32901589850899,2.89266516184661e-07,"F1","Glycogen","male","NA",5.85764695273938e-06,"***",1.04135945826478e-05,"***"
"120","Maternal vs Paternal NSD",-4.79302362720012,1.91074542355815,-2.5084574680151,0.0324379451749339,"F1","Glycogen","male","NA",0.188543899956567," ",0.17693424640873," "
"121","Both vs Maternal NSD",-3.19503196362641,1.54490262059788,-2.06811220398469,0.0965256046464562,"F1","Trehalose","male","NA",0.362431823393388," ",0.33431866308824," "
"122","Both vs Paternal NSD",-2.31959342625331,1.54409120464099,-1.50223861082909,0.289863323890328,"F1","Trehalose","male","NA",0.794861349672477," ",0.652192478753238," "
"123","Maternal vs Paternal NSD",0.875438537373099,1.53831751045115,0.56908832632111,0.836579619131113,"F1","Trehalose","male","NA",0.999818594883818," ",0.999818594883818," "
"124","Both vs Maternal NSD",-0.911239744290987,0.598133087965453,-1.52347322464732,0.279811619903594,"F1","Glucose","male","NA",0.794861349672477," ",0.637545463071481," "
"125","Both vs Paternal NSD",-1.48980521026193,0.59781893565226,-2.4920676168219,0.0340627280144066,"F1","Glucose","male","NA",0.188543899956567," ",0.179565619006254," "
"126","Maternal vs Paternal NSD",-0.578565465970943,0.595583560109038,-0.971426185546526,0.594959816655652,"F1","Glucose","male","NA",0.999818594883818," ",0.877809565557519," "
"127","Both vs Maternal NSD",-3.90760164082733,3.24298352658099,-1.20494033003832,0.450206716593192,"F2","TAG","female","NA",0.908407081326839," ",0.763825774088633," "
"128","Both vs Paternal NSD",-2.31406057434479,3.21534525125368,-0.719692721471365,0.751819637811838,"F2","TAG","female","NA",0.999818594883818," ",0.999818594883818," "
"129","Maternal vs Paternal NSD",1.59354106648255,3.25302224960608,0.489864791633538,0.876131855351945,"F2","TAG","female","NA",0.999818594883818," ",0.999818594883818," "
"130","Both vs Maternal NSD",-1.94424221307821,1.66145092740705,-1.17020742593493,0.471025894021324,"F2","Glycogen","female","NA",0.908407081326839," ",0.763825774088633," "
"131","Both vs Paternal NSD",2.211358153225,1.68728336936608,1.31060270810102,0.389204182261345,"F2","Glycogen","female","NA",0.900729678947685," ",0.745066025892164," "
"132","Maternal vs Paternal NSD",4.15560036630321,1.6750667270654,2.48085661255031,0.0349155370289939,"F2","Glycogen","female","NA",0.188543899956567," ",0.179565619006254," "
"133","Both vs Maternal NSD",1.1736269471672,1.13986997136641,1.029614760147,0.558101278671648,"F2","Trehalose","female","NA",0.999818594883818," ",0.85134093356692," "
"134","Both vs Paternal NSD",1.88933114881922,1.15759280891186,1.63212066822978,0.232054849901993,"F2","Trehalose","female","NA",0.722940109310054," ",0.596712471176552," "
"135","Maternal vs Paternal NSD",0.71570420165202,1.14921134938166,0.622778570745151,0.807618281771146,"F2","Trehalose","female","NA",0.999818594883818," ",0.999818594883818," "
"136","Both vs Maternal NSD",-0.317853078445168,0.523115724874003,-0.607615224187201,0.815950162788771,"F2","Glucose","female","NA",0.999818594883818," ",0.999818594883818," "
"137","Both vs Paternal NSD",0.301262668518763,0.531249192060878,0.567083532588676,0.837622873089552,"F2","Glucose","female","NA",0.999818594883818," ",0.999818594883818," "
"138","Maternal vs Paternal NSD",0.61911574696393,0.527402724141045,1.17389561832896,0.468782616675763,"F2","Glucose","female","NA",0.908407081326839," ",0.763825774088633," "
"139","Both vs Maternal NSD",-33.7199999999998,46.0847125773106,-0.731696003168772,0.744646604965569,"F2","Fitness","female","NA",0.999818594883818," ",0.999818594883818," "
"140","Both vs Paternal NSD",23.9200000000001,46.0847125773106,0.519044139851636,0.862049594116754,"F2","Fitness","female","NA",0.999818594883818," ",0.999818594883818," "
"141","Maternal vs Paternal NSD",57.6399999999999,46.0847125773106,1.25074014302041,0.423299267079893,"F2","Fitness","female","NA",0.907230795641781," ",0.751084318831976," "
"142","Both vs Maternal NSD",-6.44412409232675,3.21459220127616,-2.00464746034302,0.111074472379066,"F2","TAG","male","NA",0.391175315769755," ",0.370248241263554," "
